2017 9   2   21  50  6.339     73.704    100.000   1.70      QP6RT9I   
2017 9   2   21  54  5.547     74.854    15.800    0.90      RGUKDV8   
2017 9   2   22  50  2.070     75.722    0.100     1.60      RABPOIJ   
2017 9   3   1   4   3.776     75.653    4.000     1.30      55UFLTG   
2017 9   3   1   6   6.832     73.138    145.300   1.80      EVLXGTF   
2017 9   3   1   15  6.747     73.091    147.800   1.40      CBAVHVE   
2017 9   3   1   27  6.336     73.560    116.000   1.30      2C0JNCP   
2017 9   3   2   6   6.811     73.117    146.300   2.50      NVH9I0G   
2017 9   3   2   22  6.799     73.098    144.800   1.50      O4N8A39   
2017 9   3   2   42  6.827     73.121    144.500   2.40      BXNPEOC   
2017 9   3   2   50  6.828     73.128    148.100   2.30      QVKTZ3J   
2017 9   3   3   8   6.800     73.131    147.900   1.50      RE95QQC   
2017 9   3   3   43  6.071     73.747    108.200   1.30      MDGDP34   
2017 9   3   4   25  5.691     73.880    108.600   1.70      AUOI22U   
2017 9   3   5   20  6.808     73.143    147.900   1.80      1ZO2MNU   
2017 9   3   6   53  6.843     73.120    133.400   1.30      5VVBJR9   
2017 9   3   7   7   5.251     73.718    152.000   2.60      66JONYY   
2017 9   3   7   19  7.148     73.361    111.300   1.00      MGFTXK7   
2017 9   3   7   37  6.878     73.088    147.600   1.00      7NP5LCS   
2017 9   3   8   9   3.739     75.984    146.800   1.80      PLDMBVZ   
2017 9   3   8   36  6.782     73.137    149.000   1.50      SNU6883   
2017 9   3   8   42  6.839     73.135    147.100   1.70      63T401C   
2017 9   3   8   57  6.772     73.114    143.600   2.10      HXQYKD3   
2017 9   3   10  25  6.780     73.089    145.200   1.30      E0WRQFJ   
2017 9   3   10  55  6.804     73.144    147.100   1.30      DYN3KQV   
2017 9   3   11  4   6.841     73.031    142.000   1.10      V5A17P9   
2017 9   3   11  17  6.771     73.102    141.400   1.50      YLI5ZHT   
2017 9   3   11  20  6.479     73.679    106.000   1.10      Q9FUHCZ   
2017 9   3   12  34  6.772     73.124    140.900   1.70      MGWE9L1   
2017 9   3   12  45  7.231     76.296    0.000     1.40      X88F0KW   
2017 9   3   14  9   6.640     73.417    112.000   1.40      EMKPZ2W   
2017 9   3   14  40  3.940     75.564    4.000     1.40      81CN6AM   
2017 9   3   17  15  9.762     73.069    0.000     1.90      ICLH4H1   
2017 9   3   17  31  9.933     73.560    0.000     2.10      GV81EBU   
2017 9   3   17  44  4.650     78.179    21.700    2.00      8YAGK2D   
2017 9   3   17  53  6.769     73.166    135.100   1.50      9B9KLQS   
2017 9   3   18  5   6.743     74.423    32.100    1.30      3G8YLM2   
2017 9   3   19  13  6.752     73.079    143.200   1.30      ATU7KJX   
2017 9   3   20  4   1.778     76.283    4.000     2.10      UWUVMWQ   
2017 9   3   20  8   6.797     73.133    147.400   1.20      RRH4SNO   
2017 9   3   20  33  6.819     73.163    146.000   1.40      EJQ5YFP   
2017 9   3   20  58  6.919     72.706    106.000   1.10      5BC23EW   
2017 9   3   21  27  6.791     73.062    142.500   1.00      TW4OZIT   
2017 9   3   21  38  8.482     74.279    30.000    1.40      WH0L1JL   
2017 9   3   23  13  7.492     74.972    4.000     2.10      ISAQNKX   
2017 9   3   23  19  6.850     73.290    119.600   1.60      AUH1MOF   
2017 9   4   0   34  6.822     73.123    148.000   1.40      VMMWPC5   
2017 9   4   0   54  4.485     73.461    0.000     1.30      LLG8IKW   
2017 9   4   1   13  6.243     77.586    9.900     2.00      ENE92EI   
2017 9   4   1   48  6.567     73.525    111.000   2.00      DC8ZS0P   
2017 9   4   1   59  6.809     73.140    143.500   1.20      2MU9RNI   
2017 9   4   2   7   6.768     73.120    142.500   1.60      GE1BBXP   
2017 9   4   2   25  6.832     73.159    149.800   1.20      XFLGZT7   
2017 9   4   2   36  5.853     73.718    116.600   1.30      QZ3U1C3   
2017 9   4   2   43  3.694     74.186    0.000     1.70      SFUREFQ   
2017 9   4   2   53  5.236     73.697    140.400   1.50      DY8Y79Y   
2017 9   4   3   14  6.743     73.090    141.900   1.30      XBTX2T3   
2017 9   4   3   23  8.024     72.685    2.100     2.90      9RBD95C   
2017 9   4   3   29  6.075     73.661    118.000   1.30      7YBIRK5   
2017 9   4   4   48  6.815     73.170    147.600   1.40      45T0AU9   
2017 9   4   5   8   1.970     75.890    2.500     1.20      V1JVUWN   
2017 9   4   5   14  6.757     73.073    148.500   1.80      L76LAQ1   
2017 9   4   5   36  6.831     73.120    147.000   2.60      T9JEC7D   
2017 9   4   6   3   2.713     75.085    4.000     1.30      B5TDY7R   
2017 9   4   6   46  6.800     73.144    148.200   1.70      7IBC7X7   
2017 9   4   6   52  6.802     73.117    146.900   2.00      XU57G88   
2017 9   4   7   41  6.801     73.149    148.500   1.80      VMKMF7P   
2017 9   4   8   0   6.826     73.140    150.500   2.40      NDANPDF   
2017 9   4   8   38  6.492     76.625    5.400     1.40      BB3UR5X   
2017 9   4   8   39  6.760     73.203    146.000   1.40      3YW5JLL   
2017 9   4   8   42  6.788     73.166    138.000   1.20      KRW6070   
2017 9   4   8   48  5.527     72.527    19.500    1.60      7OHTC1X   
2017 9   4   9   12  6.800     73.154    142.200   2.20      3D8GKVQ   
2017 9   4   10  28  6.777     73.060    145.900   1.60      CS5DPD0   
2017 9   4   10  47  7.673     74.547    29.900    1.70      6YW5QNU   
2017 9   4   10  48  5.360     74.442    6.800     1.60      I34GJKQ   
2017 9   4   10  59  4.533     75.713    0.600     3.00      3YLH6NB   
2017 9   4   11  11  6.819     73.144    143.500   2.30      EWJV6WE   
2017 9   4   11  13  6.803     73.136    145.700   1.70      8DA5LFZ   
2017 9   4   11  42  6.813     73.154    140.600   2.20      DX15XNU   
2017 9   4   14  32  6.779     73.139    138.000   2.10      QEOBEJI   
2017 9   4   14  52  7.465     73.377    112.900   1.60      1M4WJX2   
2017 9   4   16  59  11.975    74.310    54.200    2.00      USWC1QK   
2017 9   4   17  20  6.682     73.205    148.000   1.50      BH72RCZ   
2017 9   4   17  45  2.394     75.630    12.000    1.70      KYHHEBN   
2017 9   4   18  16  7.635     75.163    3.200     1.90      EPYPAS6   
2017 9   4   18  44  6.828     73.156    148.200   3.20      2U9TEA1   
2017 9   4   20  22  6.818     73.120    147.700   2.00      07DJH9B   
2017 9   4   20  28  6.827     73.145    156.000   4.80      7OH1FZA   
2017 9   4   21  31  5.626     74.359    82.200    1.90      GUT925H   
2017 9   5   0   27  6.755     73.123    144.000   2.00      7CE8VZA   
2017 9   5   1   4   6.854     73.483    124.400   1.90      HXD22M4   
2017 9   5   1   47  4.868     76.294    106.000   2.50      H2AR3NI   
2017 9   5   2   10  3.438     74.242    0.000     1.90      J386HQF   
2017 9   5   2   44  5.262     73.728    147.600   2.90      233244G   
2017 9   5   4   2   6.797     73.158    139.800   2.10      AMOM706   
2017 9   5   4   5   6.131     72.392    4.100     1.20      EZUW1V9   
2017 9   5   4   6   6.791     73.132    147.200   1.40      QADDO09   
2017 9   5   4   32  5.073     77.619    30.400    2.00      F1VONKA   
2017 9   5   4   48  6.801     73.145    147.600   1.80      8OPYC5U   
