;;;;;;;Parametros de la Consulta;;;;;;;;
;;;;;;Fecha_Incial;01/06/1993;;;;;;;;
;;;;;;Fecha_Final;06/05/2014;;;;;;;;
;;;;;;Departamento;CALDAS;;;;;;;;
;;;;;;Municipio;;;;;;;;;
;;;;;;Total_Registros;467;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;Red Sismologica Nacional;;;;;;;;
;;;;;;;de Colombia;;;;;;;;
;;;;;;;;;;;;;;;
Fecha;Hora UTC;Latitud;Longitud;Profundidad;Magnitud;Magnitud;Departamento;Municipio;# Estaciones;Rms;Gap;Error Latitud (Km);Error Longitud (Km);Error Profundidad (Km);Estado
aaaa/mm/dd;hh:mm:ss;Grados;Grados;Km;Ml;Mw;;;;Seg;Grados;;;;
19/11/1995;19:53:09;5.29;-74.895;6.4;1.7;;CALDAS;VICTORIA;10;0.40;119;2.2;2.9;6.8;Revisado
21/11/1995;00:38:41;5.472;-74.848;21.5;1.9;;CALDAS;NORCASIA;9;0.70;149;2.4;4.3;4;Revisado
29/11/1995;23:58:32;5.29;-74.95;64.9;1.7;;CALDAS;VICTORIA;4;0.00;182;6.7;11.4;22.4;Revisado
30/11/1995;11:09:27;5.304;-74.895;12.8;1.7;;CALDAS;VICTORIA;9;0.40;123;2.8;4.1;8.5;Revisado
10/12/1995;16:28:57;5.638;-74.895;14.7;2.6;;CALDAS;SAMANA;8;0.90;109;4.2;3.6;11.6;Revisado
10/12/1995;17:29:05;5.652;-74.839;8.8;2;;CALDAS;LA_DORADA;10;0.80;109;3.2;3.8;7;Revisado
10/12/1995;18:56:53;5.57;-74.975;0;1.6;;CALDAS;SAMANA;6;0.60;118;2.4;4.2;6.5;Revisado
25/12/1995;06:33:59;5.281;-75.535;111.5;3;;CALDAS;ARANZAZU;13;0.80;65;5.2;6;11.8;Revisado
28/12/1995;16:00:57;4.993;-75.472;0;2.2;;CALDAS;VILLAMARIA;5;0.20;191;3.5;10.5;65.6;Revisado
03/01/1996;04:15:11;5.614;-74.792;4.1;1.6;;CALDAS;LA_DORADA;6;0.50;130;3.8;3.5;3.6;Revisado
