Fecha;Hora UTC;Latitud;Longitud;Profundidad;Magnitudl;Magnitudw;Departamento;Municipio;# Estaciones;Rms;Gap;Error Latitud (Km);Error Longitud (Km);Error Profundidad (Km);Estado
aaaa/mm/dd;hh:mm:ss;Grados;Grados;Km;Ml;Mw;;;;Seg;Grados;;;;
07/04/1998;15:55:56;6.625;-74.383;18.3;1.9;;ANTIOQUIA;PUERTO_BERRIO;3;0.3;275;6.4;18;25;Revisado
08/04/1998;23:45:41;7.311;-74.732;19.5;3.1;;ANTIOQUIA;SEGOVIA;3;0.2;287;3.4;27;35.5;Revisado
10/04/1998;15:33:54;7.921;-74.815;77.7;2.6;;ANTIOQUIA;NECHI;4;0.3;234;6;5.1;26.2;Revisado
11/04/1998;4:31:42;6.891;-76.113;0;2.8;;ANTIOQUIA;URAMITA;5;0.5;175;10.9;7.5;19.2;Revisado
13/04/1998;14:56:56;6.804;-76.634;4;2.7;;ANTIOQUIA;MURINDO;6;0.4;210;13.2;2.4;13.9;Revisado
17/04/1998;4:40:11;7.065;-74.584;26.7;2.1;;ANTIOQUIA;REMEDIOS;3;0.4;280;6.3;37.7;58.7;Revisado
17/04/1998;7:12:30;7.989;-74.824;32;2.6;;ANTIOQUIA;NECHI;7;0.6;238;13.4;10.8;25.6;Revisado
25/04/1998;23:15:10;7.209;-74.654;0;3;;ANTIOQUIA;SEGOVIA;3;0.5;282;5.1;13.3;12.3;Revisado
28/04/1998;4:51:27;6.292;-74.257;5.3;2.4;;ANTIOQUIA;PUERTO_BERRIO;5;0.9;170;9.4;4.9;41.7;Revisado
28/04/1998;5:23:09;6.657;-74.474;16.5;1.8;;ANTIOQUIA;PUERTO_BERRIO;3;0.6;280;6.3;59.6;52.8;Revisado
28/04/1998;10:25:34;6.651;-74.481;35.9;2.2;;ANTIOQUIA;PUERTO_BERRIO;4;0.5;147;6.3;3.6;29.5;Revisado
29/04/1998;18:40:49;7.273;-74.435;0;2.6;;ANTIOQUIA;SEGOVIA;3;0.4;275;3.8;11.4;9.4;Revisado
30/04/1998;1:21:32;7.09;-75.183;0.9;2.9;;ANTIOQUIA;ANORI;7;0.5;216;8.5;12.2;17;Revisado
30/04/1998;8:53:27;7.495;-75.491;28;2.6;;ANTIOQUIA;TARAZA;5;0.3;199;4.7;6.8;17.9;Revisado
01/05/1998;17:29:52;7.077;-74.537;0;2.5;;ANTIOQUIA;REMEDIOS;8;1;176;16.6;12.7;55;Revisado
07/05/1998;10:17:10;5.642;-76.169;54;2.7;;ANTIOQUIA;BETANIA;8;1;107;9.2;8.2;45;Revisado
15/05/1998;4:22:03;6.644;-74.581;41.2;2.1;;ANTIOQUIA;MACEO;4;0.7;198;11.5;41;99.9;Revisado
27/05/1998;0:51:19;7.03;-76.882;4;3.3;;ANTIOQUIA;MURINDO;11;0.6;210;14;4.4;14.5;Revisado
30/05/1998;4:16:32;8.353;-74.861;32.1;2.9;;ANTIOQUIA;NECHI;6;0.7;256;25.3;19;46.6;Revisado
01/06/1998;12:06:12;7.694;-76.93;0;3.4;;ANTIOQUIA;CHIGORODO;6;0.7;243;15;16.7;28.4;Revisado
02/06/1998;11:23:06;7.151;-76.543;18.8;3;;ANTIOQUIA;MUTATA;5;0.8;225;88.5;15.3;64.6;Revisado
06/06/1998;18:11:55;7.451;-75.314;74;2.7;;ANTIOQUIA;CACERES;4;0.4;237;13.1;14.4;28.9;Revisado
07/06/1998;21:18:32;8.043;-75.176;28;2.7;;ANTIOQUIA;CAUCASIA;3;0.2;252;10;9.1;21.7;Revisado
14/06/1998;7:01:44;7.945;-74.559;14.4;2.3;;ANTIOQUIA;NECHI;3;0.5;293;96.9;19;17.3;Revisado
14/06/1998;9:51:35;7.002;-76.142;4;3;;ANTIOQUIA;URAMITA;5;0.4;182;9;6.5;19.9;Revisado
14/06/1998;23:33:37;6.894;-75.965;0.9;2.7;;ANTIOQUIA;CANASGORDAS;6;0.5;133;7;5.8;19.4;Revisado
15/06/1998;21:03:25;7.081;-73.657;0;2;;ANTIOQUIA;YONDO;3;0.2;223;2.4;17.8;7;Revisado
17/06/1998;12:46:51;6.978;-74.736;32.1;2.1;;ANTIOQUIA;REMEDIOS;3;0.1;234;22.3;5.5;26.5;Revisado
21/06/1998;1:20:57;6.781;-77.046;4.1;3.4;;ANTIOQUIA;VIGIA_DEL_FUERTE;8;0.7;250;29.2;45.8;90.1;Revisado
24/06/1998;6:00:46;8.07;-74.491;17.1;3.1;;ANTIOQUIA;NECHI;3;0.3;295;22.6;52.8;72;Revisado
25/06/1998;9:47:02;6.702;-75.824;0;2.7;;ANTIOQUIA;LIBORINA;5;1.3;251;54.5;21.8;79.8;Revisado
26/06/1998;17:13:32;7.158;-76.63;1.3;3.1;;ANTIOQUIA;MUTATA;4;0.4;205;14.2;3.1;14.1;Revisado
29/06/1998;14:23:22;7.122;-74.733;17.1;2.9;;ANTIOQUIA;SEGOVIA;3;0.5;286;8.2;56;72.1;Revisado
03/07/1998;22:31:24;7.243;-75.41;0;3.3;;ANTIOQUIA;VALDIVIA;4;0.4;248;6.6;8.9;25.7;Revisado
05/07/1998;5:33:54;7.287;-74.891;7.2;2.5;;ANTIOQUIA;ZARAGOZA;5;1;210;12.3;11.4;68.2;Revisado
09/07/1998;23:41:05;5.921;-74.935;0.1;1.9;;ANTIOQUIA;SAN_FRANCISCO;4;0.8;153;8.7;8.7;27.9;Revisado
13/07/1998;2:17:24;6.418;-75.994;28.4;3.5;;ANTIOQUIA;CAICEDO;10;0.3;147;5.9;3.8;6.5;Revisado
13/07/1998;7:38:56;7.109;-75.72;0;2.8;;ANTIOQUIA;TOLEDO;7;1.6;178;19.8;23.4;49.6;Revisado
14/07/1998;18:11:28;6.134;-74.394;32.1;1.9;;ANTIOQUIA;PUERTO_NARE;3;0.5;176;21.5;3.7;29.6;Revisado
19/07/1998;4:23:45;6.486;-75.102;3.3;2.4;;ANTIOQUIA;CISNEROS;6;1;165;12.8;6.2;13.7;Revisado
20/07/1998;9:08:04;7.927;-74.47;1.9;2.2;;ANTIOQUIA;NECHI;4;0.2;222;5.1;3.9;5.6;Revisado
25/07/1998;6:53:53;7.693;-74.397;0;2.5;;ANTIOQUIA;EL_BAGRE;3;0.2;280;4.9;17.6;17.6;Revisado
27/07/1998;8:53:27;6.836;-76.693;0.1;2.3;;ANTIOQUIA;MURINDO;6;0.9;188;25.3;7.1;26.5;Revisado
07/08/1998;3:00:24;6.756;-74.353;56.9;1.5;;ANTIOQUIA;PUERTO_BERRIO;4;0.3;148;5.4;5.1;58.2;Revisado
07/08/1998;8:42:48;6.332;-74.479;32;1.7;;ANTIOQUIA;PUERTO_NARE;4;1.5;159;35.9;12.2;88.3;Revisado
09/08/1998;23:47:14;6.304;-74.301;40.1;2.6;;ANTIOQUIA;PUERTO_BERRIO;6;0.3;120;3.3;2.8;13.8;Revisado
10/08/1998;9:51:55;7.488;-75.305;4.2;3.3;;ANTIOQUIA;CACERES;7;0.7;186;11.8;7.5;19.3;Revisado
11/08/1998;0:27:42;6.838;-76.772;0.1;3.6;;ANTIOQUIA;MURINDO;8;1.3;192;25.1;11;46.6;Revisado
11/08/1998;1:26:00;7.474;-74.586;22.9;1.9;;ANTIOQUIA;EL_BAGRE;4;0.1;201;2.9;2.4;9.2;Revisado
12/08/1998;3:44:28;6.326;-74.36;34;2.2;;ANTIOQUIA;PUERTO_BERRIO;4;0.4;169;9.8;2.4;64.9;Revisado
12/08/1998;17:36:18;7.545;-74.391;1.3;2.2;;ANTIOQUIA;EL_BAGRE;3;0.4;276;5.7;18.1;17;Revisado
12/08/1998;21:36:03;7.054;-74.129;111;1.9;;ANTIOQUIA;YONDO;4;0.9;154;12.1;13.1;63.3;Revisado
13/08/1998;6:06:06;6.727;-74.407;40;2.4;;ANTIOQUIA;PUERTO_BERRIO;4;0.5;149;8;4.7;92.2;Revisado
14/08/1998;23:09:36;7.122;-76.952;0;3;;ANTIOQUIA;MURINDO;6;0.6;182;13;8.9;20.2;Revisado
15/08/1998;19:20:54;7.321;-74.675;14.5;2.6;;ANTIOQUIA;SEGOVIA;4;0.9;197;10.2;10.6;48.5;Revisado
18/08/1998;11:17:58;6.648;-74.472;40.9;2.4;;ANTIOQUIA;PUERTO_BERRIO;4;0.6;193;8.7;20.9;99.9;Revisado
23/08/1998;8:46:15;7.562;-75.155;4;2.4;;ANTIOQUIA;CACERES;4;0.5;233;9.5;14.5;16.3;Revisado
24/08/1998;10:44:01;7.266;-74.92;6.2;2.4;;ANTIOQUIA;ANORI;5;0.3;207;4;5.4;8.2;Revisado
30/08/1998;13:57:43;7.283;-75.288;17;2.7;;ANTIOQUIA;VALDIVIA;6;0.5;173;5.6;3.8;8;Revisado
01/09/1998;10:01:46;6.587;-74.734;4.3;2.1;;ANTIOQUIA;MACEO;6;0.7;159;6.1;3.3;7.4;Revisado
